Buy Price,Mon AM,Mon PM,Tue AM,Tue PM,Wed AM,Wed PM,Thu AM,Thu PM,Fri AM,Fri PM,Sat AM,Sat PM,Previous Pattern,Pattern
NaN,126,94,107,71,64,146,146,76,70,66,146,146,2,0
NaN,126,94,107,71,64,53,90,76,70,90,90,90,2,0
NaN,126,94,107,71,64,53,146,76,70,94,146,146,2,0
NaN,126,94,107,71,64,53,146,76,70,94,94,94,2,0
107,93,88,85,80,118,208,600,166,100,90,72,97,0 ,2
107,93,88,85,80,118,208,600,166,100,90,72,43,0 ,2
NaN,88,114,82,97,128,128,73,70,128,73,70,66,0 ,0
NaN,88,114,82,97,54,45,36,81,54,45,81,81,0 ,0
NaN,88,114,82,97,128,55,52,128,128,73,70,66,0 ,0
NaN,88,114,82,97,54,51,126,126,126,54,45,36,0 ,0
91,93,122,89,125,56,46,117,64,56,52,113,128,2,0
91,93,122,89,125,56,53,117,64,56,52,113,82,2,0
91,93,122,89,125,56,46,117,64,56,52,113,82,2,0
91,93,122,89,125,56,53,117,64,56,52,113,128,2,0
NaN,86,127,95,153,178,173,NaN,NaN,NaN,NaN,NaN,NaN,4,1
104,94,89,85,80,113,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0 ,NaN
107,95,90,87,83,79,75,71,68,NaN,NaN,NaN,NaN,0 ,3
110,63,59,56,101,108,196,219,193,NaN,NaN,NaN,NaN,2,1
98,88,85,115,142,424,189,105,NaN,NaN,NaN,NaN,NaN,3,2
103,62,61,53,127,111,134,120,135,NaN,NaN,NaN,NaN,1,0
93,80,76,72,68,64,NaN,127,160,286,NaN,NaN,NaN,1,2
107,95,90,85,82,77,72,68,149,179,326,NaN,NaN,1,2
105,103,79,70,63,107,148,63,80,124,100,80,145,2,0
108,94,90,86,101,122,195,198,194,90,86,NaN,NaN,2,1
100,135,97,147,153,148,60,56,52,48,NaN,NaN,NaN,1,1
108,127,121,121,136,98,75,66,61,109,117,NaN,NaN,1,0
98,130,120,163,178,173,NaN,80,NaN,NaN,NaN,NaN,NaN,2,1
92,80,76,72,69,66,62,59,55,52,NaN,NaN,NaN,4,3
105,NaN,85,81,78,74,69,64,59,56,52,49,NaN,4,3
NaN,67,63,60,56,53,92,111,136,182,NaN,NaN,NaN,3,1
110,150,128,128,119,114,104,80,72,123,80,78,71,3,0
92,83,79,76,73,69,66,61,57,53,50,47,43,1,3
98,66,62,56,112,132,119,121,127,69,61,102,138,4,0
93,82,79,75,72,67,89,170,551,139,100,46,38,0 ,2
98,66,62,56,112,132,119,121,127,69,61,102,89,4,0
93,82,79,75,72,67,89,170,551,139,100,46,84,0 ,2
110,NaN,NaN,86,146,165,613,177,129,99,72,57,NaN,3,2
101,65,60,57,53,50,46,41,116,112,158,165,144,0 ,1
91,62,54,84,112,NaN,NaN,124,119,NaN,63,55,97,1,0
107,78,72,106,98,133,115,NaN,NaN,NaN,NaN,NaN,NaN,1,0
